,날짜,시가,고가,저가,종가,거래량,등락률,MA_20,RSI_14,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0
865,2021-04-15,14250,14500,14150,14150,18190,-0.7017543859649122,13660.0,61.77749806449086,12310.703887206351,13660.0,15009.296112793649,19.755433569453132,0.6815761549129049
866,2021-04-16,14200,14500,14150,14450,15504,2.1201413427561837,13750.0,65.75538394107038,12442.712732411102,13750.0,15057.287267588898,19.015087528565783,0.7677299845851971
867,2021-04-19,14550,14800,14400,14500,29786,0.3460207612456747,13840.0,66.38332857033028,12587.562376802722,13840.0,15092.437623197278,18.098809583775697,0.7634861759881992
868,2021-04-20,14500,14750,14500,14600,33039,0.6896551724137931,13935.0,67.6605787471105,12756.82344277267,13935.0,15113.17655722733,16.909602543628715,0.7822157663555036
869,2021-04-21,14700,14750,14400,14550,18839,-0.3424657534246575,14030.0,66.30408977555997,12982.431386495355,14030.0,15077.568613504645,14.933266051384823,0.7481937666404197
870,2021-04-22,14650,15400,14450,15350,52346,5.498281786941581,14162.5,74.95565820544275,13151.621669042193,14162.5,15173.378330957807,14.275422149448284,1.0873604981100171
871,2021-04-23,15350,15900,15100,15500,113459,0.9771986970684038,14277.5,76.19007450232883,13209.10166604396,14277.5,15345.89833395604,14.966182230166906,1.07211807672582
872,2021-04-26,15800,19650,15700,16800,866198,8.38709677419355,14437.5,83.692198258562,12947.575505268795,14437.5,15927.424494731205,20.639646680259123,1.2928254110709867
873,2021-04-27,16850,19400,16800,18200,642376,8.333333333333332,14672.5,88.05659125327443,12515.076768457326,14672.5,16829.923231542674,29.40771145398091,1.31752619245637
874,2021-04-28,18200,18650,17250,17300,180031,-4.945054945054945,14845.0,74.29183113907892,12440.64977592697,14845.0,17249.35022407303,32.39272784200782,1.0105329447057774
875,2021-04-29,17300,18450,16750,18300,253261,5.780346820809249,15077.5,78.34273991767334,12308.659990176386,15077.5,17846.340009823612,36.72810492221672,1.0819223914286922
876,2021-04-30,18750,18750,17150,17700,153520,-3.278688524590164,15282.5,71.10326909596114,12377.801220436097,15282.5,18187.198779563903,38.01339806398041,0.9161360924940642
877,2021-05-03,17650,17650,16200,16250,93184,-8.192090395480225,15397.5,57.318376623689176,12531.060571021946,15397.5,18263.939428978054,37.232530332561176,0.6487036480488154
878,2021-05-04,16250,16800,15900,16550,104291,1.8461538461538465,15530.0,59.08574233854664,12708.05031937137,15530.0,18351.94968062863,36.34191475374926,0.6807261141121376
879,2021-05-06,16150,19500,16150,17900,384005,8.157099697885197,15705.0,65.92381434177453,12753.915453600148,15705.0,18656.084546399852,37.581465092643775,0.8718971729694714
880,2021-05-07,18200,18800,17650,18650,146502,4.189944134078212,15907.5,69.02146246893624,12739.649782581251,15907.5,19075.35021741875,39.82838557182145,0.9328645314289298
881,2021-05-10,18800,19300,18700,18900,131383,1.3404825737265416,16120.0,70.00041096040329,12754.082591625276,16120.0,19485.917408374724,41.76076189050526,0.9129631928999646
882,2021-05-11,18750,20200,18400,19550,293195,3.439153439153439,16370.0,72.43906868882725,12772.862248954036,16370.0,19967.137751045964,43.94792609707958,0.9420181016247334
883,2021-05-12,19950,20300,18000,18850,199741,-3.580562659846547,16615.0,66.19812058451156,13043.151738945227,16615.0,20186.848261054773,42.99546507438788,0.8128632344729002
884,2021-05-13,18050,18700,17250,17400,140505,-7.6923076923076925,16772.5,55.52645296367842,13357.316988798402,16772.5,20187.683011201596,40.72360126637766,0.5918691616147419
885,2021-05-14,17650,17700,16850,16950,77869,-2.586206896551724,16912.5,52.687715720173166,13716.271754082632,16912.5,20108.728245917366,37.79722981129184,0.5058662894378555
886,2021-05-17,17100,17400,16600,16800,78149,-0.8849557522123894,17030.0,51.738204618690204,14038.278087789573,17030.0,20021.721912210425,35.13472592143777,0.46156059841971336
887,2021-05-18,16800,18050,16800,17600,81138,4.761904761904762,17185.0,56.26511669994349,14421.107816864049,17185.0,19948.89218313595,32.16633323405238,0.5750752874030591
888,2021-05-20,17400,17450,16700,17100,42675,-2.840909090909091,17310.0,52.92382413495373,14811.680564859647,17310.0,19808.31943514035,28.865620278917987,0.45797174751830694
889,2021-05-21,17200,17350,16800,16900,38906,-1.1695906432748535,17427.5,51.603741417273866,15260.36479425025,17427.5,19594.63520574975,24.870293567634484,0.37829554921159053
890,2021-05-24,16900,17150,16550,16700,19866,-1.183431952662722,17495.0,50.25383451961859,15514.873741399299,17495.0,19475.1262586007,22.636481950279514,0.2992552251284716
891,2021-05-25,16750,17000,16300,16600,53024,-0.5988023952095809,17550.0,49.55580807497275,15740.856556267578,17550.0,19359.143443732424,20.617019301793995,0.23744481033519743
892,2021-05-26,16600,16700,16100,16500,47269,-0.6024096385542169,17535.0,48.82545368905887,15696.495172701467,17535.0,19373.504827298533,20.96954465125216,0.2185212721141421
893,2021-05-27,16550,17050,16550,16900,32024,2.4242424242424243,17470.0,51.880414422229634,15638.224904634848,17470.0,19301.775095365152,20.9705219847184,0.34441321387045765
894,2021-05-28,17150,17350,16950,17050,31537,0.8875739644970414,17457.5,53.01318915027792,15617.860089582744,17457.5,19297.139910417256,21.07563981574975,0.38924462942653454
895,2021-05-31,17450,17450,16750,16900,21021,-0.8797653958944283,17387.5,51.7024464436677,15575.077587867549,17387.5,19199.92241213245,20.847418112235243,0.36551148431605973
896,2021-06-01,17150,17350,16900,17000,22457,0.591715976331361,17352.5,52.544831135610266,15538.53335201553,17352.5,19166.466647984467,20.907265788612225,0.40283724334411875
897,2021-06-02,17100,17400,17000,17150,27953,0.8823529411764706,17397.5,53.84523374327755,15651.798135419449,17397.5,19143.20186458055,20.068422067314856,0.4291116069067532
898,2021-06-03,17200,17450,17150,17400,42454,1.4577259475218658,17440.0,56.00891087930367,15738.059930549842,17440.0,19141.94006945016,19.517661346905495,0.48824870489919087
899,2021-06-04,17500,17800,17200,17500,30396,0.5747126436781609,17420.0,56.87967907653201,15730.799005446654,17420.0,19109.200994553346,19.393811648144048,0.5236798345069509
900,2021-06-07,17800,17800,17200,17250,25720,-1.4285714285714286,17350.0,54.001811127857664,15757.203716729597,17350.0,18942.796283270403,18.36076407228131,0.4686086660766575
901,2021-06-08,17250,17300,16950,17200,17345,-0.2898550724637681,17265.0,53.41966824713797,15839.482550089262,17265.0,18690.517449910738,16.513379089611792,0.47720126119674294
